序号| 最后一次  |次数 | 歌名 
1   |2019-05-31 | 46  | 来自天堂的魔鬼
2   |2019-05-31 | 42  | 你在终点等我
3   |2019-05-31 | 25  | 天后
4   |2019-05-31 | 18  | 去年夏天
5   |2019-05-31 | 18  | 雪落下的声音
6   |2019-05-31 | 13  | 寓言
7   |2019-05-31 | 6   | 踮起脚尖爱
8   |2019-05-31 | 6   | 街角的祝福
9   |2019-05-31 | 2   | 你的酒馆对我打了烊
10  |2019-05-31 | 2   | 胡广生
11  |2019-05-31 | 2   | 只要平凡
12  |2019-05-29 | 21  | 卜卦
13  |2019-05-29 | 18  | 不为谁而作的歌
14  |2019-05-29 | 14  | 东西
15  |2019-05-29 | 14  | 可能否
16  |2019-05-29 | 11  | 满满的都是爱
17  |2019-05-29 | 10  | 美错
18  |2019-05-29 | 9   | 江南
19  |2019-05-29 | 8   | 口袋的天空
20  |2019-05-29 | 8   | 电灯胆
21  |2019-05-29 | 6   | 红日
22  |2019-05-29 | 5   | 走着走着就散了
23  |2019-05-29 | 4   | 自己
24  |2019-05-29 | 2   | i want it that way
25  |2019-05-27 | 125 | 佛系少女
26  |2019-05-27 | 49  | 心形宇宙
27  |2019-05-27 | 44  | 烟火里的尘埃
28  |2019-05-27 | 41  | 青空
29  |2019-05-27 | 41  | 匆匆那年
30  |2019-05-27 | 30  | 既视感
31  |2019-05-27 | 29  | 如果有来生
32  |2019-05-27 | 24  | 吹海风
33  |2019-05-27 | 19  | 看到风
34  |2019-05-27 | 13  | 至少还有你
35  |2019-05-27 | 9   | 那么骄傲
36  |2019-05-27 | 9   | 我是我的
37  |2019-05-27 | 4   | 寂寞烟火
38  |2019-05-24 | 146 | 刚好遇见你
39  |2019-05-24 | 49  | 等下一个他
40  |2019-05-24 | 48  | 玻璃糖
41  |2019-05-24 | 39  | 小幸运
42  |2019-05-24 | 31  | 最美的期待
43  |2019-05-24 | 27  | 执迷不悔
44  |2019-05-24 | 27  | 空空如也
45  |2019-05-24 | 25  | 可惜不是你
46  |2019-05-24 | 24  | 喜欢你
47  |2019-05-24 | 23  | e.t.
48  |2019-05-24 | 22  | 云烟成雨
49  |2019-05-24 | 22  | 战争世界
50  |2019-05-24 | 19  | 侧脸
51  |2019-05-24 | 18  | 太多
52  |2019-05-24 | 18  | 雨蝶
53  |2019-05-24 | 16  | 等你下课
54  |2019-05-24 | 15  | 遇
55  |2019-05-24 | 15  | 红颜旧
56  |2019-05-24 | 13  | 我的秘密
57  |2019-05-24 | 11  | 谢谢你
58  |2019-05-24 | 9   | 流泪
59  |2019-05-24 | 7   | 独角戏
60  |2019-05-24 | 7   | 陆垚知马俐
61  |2019-05-24 | 6   | 单飞
62  |2019-05-24 | 6   | 童话
63  |2019-05-24 | 5   | 樱花草
64  |2019-05-24 | 3   | 沈洁洁 
65  |2019-05-24 | 3   | 三寸天堂
66  |2019-05-24 | 2   | 赤道和北极
67  |2019-05-21 | 140 | 说散就散
68  |2019-05-21 | 48  | stuttering
69  |2019-05-21 | 47  | despacito中文版-慢慢来
70  |2019-05-21 | 45  | 爱你
71  |2019-05-21 | 30  | 丫头
72  |2019-05-21 | 28  | 尽头
73  |2019-05-21 | 25  | 原来你也在这里
74  |2019-05-21 | 20  | 星语心愿
75  |2019-05-21 | 18  | 理想情人
76  |2019-05-21 | 17  | 带我走
77  |2019-05-21 | 16  | 春风十里
78  |2019-05-21 | 13  | 那些年
79  |2019-05-21 | 12  | 爱很简单
80  |2019-05-21 | 11  | lemon tree
81  |2019-05-21 | 3   | 你的甜蜜
82  |2019-05-21 | 3   | 一生何求
83  |2019-05-20 | 39  | 往后余生
84  |2019-05-20 | 34  | 最初的梦想
85  |2019-05-20 | 26  | 爱的就是你
86  |2019-05-20 | 22  | 好运来
87  |2019-05-20 | 21  | 牵丝戏
88  |2019-05-20 | 20  | 囚鸟
89  |2019-05-20 | 17  | 婴儿
90  |2019-05-20 | 16  | 说爱你
91  |2019-05-20 | 12  | 约定
92  |2019-05-20 | 8   | 青柠
93  |2019-05-20 | 7   | 分手快乐
94  |2019-05-20 | 6   | 奇妙能力歌
95  |2019-05-20 | 4   | 走马
96  |2019-05-20 | 4   | 过错
97  |2019-05-20 | 2   | 第一次爱的人
98  |2019-05-20 | 1   | 电灯盏
99  |2019-05-20 | 1   | 好的 晚安
100 |2019-05-19 | 46  | 我想对你说baby
101 |2019-05-19 | 37  | 你把我灌醉
102 |2019-05-19 | 30  | 病变
103 |2019-05-19 | 28  | 魔鬼中的天使
104 |2019-05-19 | 25  | 美丽的神话
105 |2019-05-19 | 17  | 小宇
106 |2019-05-19 | 11  | 不再联系
107 |2019-05-19 | 11  | 如果的事
108 |2019-05-19 | 10  | 陌生人
109 |2019-05-19 | 9   | 时间煮雨
110 |2019-05-19 | 8   | 晴天
111 |2019-05-19 | 8   | 一路向北
112 |2019-05-19 | 6   | 暗涌
113 |2019-05-19 | 5   | 下一个天亮
114 |2019-05-19 | 4   | 直来直往
115 |2019-05-19 | 3   | 凌晨三点
116 |2019-05-19 | 2   | just one last dance
117 |2019-05-19 | 2   | 狂浪
118 |2019-05-19 | 2   | 黎明前的黑暗
119 |2019-05-19 | 2   | 生命树
120 |2019-05-17 | 47  | 告白气球
121 |2019-05-17 | 39  | 大鱼
122 |2019-05-17 | 31  | 淋雨一直走
123 |2019-05-17 | 30  | 当你
124 |2019-05-17 | 28  | 欧若拉
125 |2019-05-17 | 26  | 卡路里
126 |2019-05-17 | 21  | 人质
127 |2019-05-17 | 20  | 别找我麻烦
128 |2019-05-17 | 19  | 静悄悄
129 |2019-05-17 | 18  | 夜车
130 |2019-05-17 | 15  | 最长的电影
131 |2019-05-17 | 9   | 默
132 |2019-05-17 | 8   | 身骑白马
133 |2019-05-17 | 8   | 快乐崇拜
134 |2019-05-17 | 5   | 遇见
135 |2019-05-17 | 1   | 青藏高原
136 |2019-05-14 | 216 | 沈洁洁
137 |2019-05-14 | 54  | 空心
138 |2019-05-14 | 31  | 爱上张无忌
139 |2019-05-14 | 27  | 有可能的夜晚
140 |2019-05-14 | 26  | 你一定要幸福
141 |2019-05-14 | 24  | 体面
142 |2019-05-14 | 21  | 讲真的
143 |2019-05-14 | 21  | 不怕不怕
144 |2019-05-14 | 20  | 过客
145 |2019-05-14 | 18  | 一千年以后
146 |2019-05-14 | 18  | 知否知否
147 |2019-05-14 | 11  | 一笑倾城
148 |2019-05-14 | 8   | 梦一场
149 |2019-05-14 | 7   | 预谋
150 |2019-05-14 | 7   | 痴心绝对
151 |2019-05-14 | 6   | 可惜没如果
152 |2019-05-14 | 4   | 你不知道的事
153 |2019-05-14 | 3   | 七月七日晴
154 |2019-05-13 | 32  | 9420
155 |2019-05-13 | 28  | 杀破狼
156 |2019-05-13 | 18  | 好想大声说爱你
157 |2019-05-13 | 9   | 月亮代表我的心
158 |2019-05-13 | 5   | 黑猫警长
159 |2019-05-13 | 3   | 小邋遢
160 |2019-05-13 | 2   | 微光
161 |2019-05-13 | 1   | 我爱他
162 |2019-05-12 | 33  | 你要的全拿走
163 |2019-05-12 | 15  | 醉赤壁
164 |2019-05-12 | 12  | 黑色毛衣
165 |2019-05-12 | 6   | 勇敢爱
166 |2019-05-12 | 2   | 梦醒时分
167 |2019-05-10 | 101 | 追光者
168 |2019-05-10 | 60  | 我是真的爱上你
169 |2019-05-10 | 51  | 大叔不要跑
170 |2019-05-10 | 41  | 1219
171 |2019-05-10 | 39  | 小永远
172 |2019-05-10 | 34  | 我要飞
173 |2019-05-10 | 33  | 爱似水仙
174 |2019-05-10 | 33  | 七里香
175 |2019-05-10 | 32  | 词不达意
176 |2019-05-10 | 31  | 心愿便利贴
177 |2019-05-10 | 29  | 想你的365天
178 |2019-05-10 | 24  | 左手
179 |2019-05-10 | 18  | 别丢下我不管
180 |2019-05-10 | 17  | 绿色
