序号| 最后一次  |次数 | 歌名 
1   |2019-05-14 | 216 | 沈洁洁
2   |2019-05-24 | 146 | 刚好遇见你
3   |2019-05-21 | 140 | 说散就散
4   |2019-05-27 | 125 | 佛系少女
5   |2019-05-10 | 101 | 追光者
6   |2019-05-05 | 98  | 光年之外
7   |2019-05-06 | 65  | 我的一个道姑朋友
8   |2019-05-10 | 60  | 我是真的爱上你
9   |2019-04-16 | 58  | 三月
10  |2019-05-14 | 54  | 空心
11  |2019-05-06 | 54  | 爱的魔法
12  |2019-04-18 | 53  | 我喜欢上你时的内心活动
13  |2019-05-10 | 51  | 大叔不要跑
14  |2019-03-28 | 51  | 非酋
15  |2019-05-27 | 49  | 心形宇宙
16  |2019-05-24 | 49  | 等下一个他
17  |2019-05-24 | 48  | 玻璃糖
18  |2019-05-21 | 48  | stuttering
19  |2019-04-23 | 48  | 再见前任
20  |2019-05-21 | 47  | despacito中文版-慢慢来
21  |2019-05-17 | 47  | 告白气球
22  |2019-05-06 | 47  | 你就不要想起我
23  |2019-05-31 | 46  | 来自天堂的魔鬼
24  |2019-05-19 | 46  | 我想对你说baby
25  |2019-04-26 | 46  | 易燃易爆炸
26  |2019-05-21 | 45  | 爱你
27  |2019-03-10 | 45  | 识食物者为俊杰
28  |2018-01-21 | 45  | 一人饮酒醉
29  |2019-05-27 | 44  | 烟火里的尘埃
30  |2019-05-31 | 42  | 你在终点等我
31  |2019-02-22 | 42  | 沙漠骆驼
32  |2019-05-27 | 41  | 青空
33  |2019-05-27 | 41  | 匆匆那年
34  |2019-05-10 | 41  | 1219
35  |2019-05-24 | 39  | 小幸运
36  |2019-05-20 | 39  | 往后余生
37  |2019-05-17 | 39  | 大鱼
38  |2019-05-10 | 39  | 小永远
39  |2019-04-30 | 38  | 远走高飞
40  |2019-05-19 | 37  | 你把我灌醉
41  |2019-04-02 | 37  | 空港
42  |2019-04-29 | 36  | 成全
43  |2018-12-21 | 36  | 学猫叫
44  |2019-05-20 | 34  | 最初的梦想
45  |2019-05-10 | 34  | 我要飞
46  |2019-03-11 | 34  | 再见
47  |2019-02-20 | 34  | 我的梦
48  |2019-05-12 | 33  | 你要的全拿走
49  |2019-05-10 | 33  | 爱似水仙
50  |2019-05-10 | 33  | 七里香
51  |2019-03-13 | 33  | 红昭愿
52  |2019-01-08 | 33  | 东京不太热
53  |2019-05-13 | 32  | 9420
54  |2019-05-10 | 32  | 词不达意
55  |2019-05-24 | 31  | 最美的期待
56  |2019-05-17 | 31  | 淋雨一直走
57  |2019-05-14 | 31  | 爱上张无忌
58  |2019-05-10 | 31  | 心愿便利贴
59  |2019-05-03 | 31  | 爱河
60  |2019-04-30 | 31  | 哼
61  |2019-05-27 | 30  | 既视感
62  |2019-05-21 | 30  | 丫头
63  |2019-05-19 | 30  | 病变
64  |2019-05-17 | 30  | 当你
65  |2019-05-05 | 30  | 后来
66  |2019-03-22 | 30  | love you like a love song
67  |2019-02-19 | 30  | faded
68  |2019-01-29 | 30  | 带你去旅行
69  |2019-01-24 | 30  | 百万个吻
70  |2019-05-27 | 29  | 如果有来生
71  |2019-05-10 | 29  | 想你的365天
72  |2019-04-29 | 29  | 红色高跟鞋
73  |2019-04-17 | 29  | 一直很安静
74  |2019-04-16 | 29  | 别问我是谁
75  |2019-05-21 | 28  | 尽头
76  |2019-05-19 | 28  | 魔鬼中的天使
77  |2019-05-17 | 28  | 欧若拉
78  |2019-05-13 | 28  | 杀破狼
