序号| 最后一次  |次数 | 歌名 
1   |2019-05-10 | 213 | 沈洁洁
2   |2019-05-10 | 145 | 刚好遇见你
3   |2019-05-10 | 121 | 佛系少女
4   |2019-05-10 | 101 | 追光者
5   |2019-05-10 | 60  | 我是真的爱上你
6   |2019-05-10 | 51  | 大叔不要跑
7   |2019-05-10 | 46  | 心形宇宙
8   |2019-05-10 | 46  | despacito中文版-慢慢来
9   |2019-05-10 | 43  | 等下一个他
10  |2019-05-10 | 41  | 1219
11  |2019-05-10 | 38  | 小永远
12  |2019-05-10 | 33  | 爱似水仙
13  |2019-05-10 | 33  | 我要飞
14  |2019-05-10 | 33  | 七里香
15  |2019-05-10 | 32  | 词不达意
16  |2019-05-10 | 31  | 心愿便利贴
17  |2019-05-10 | 29  | 想你的365天
18  |2019-05-10 | 24  | 左手
19  |2019-05-10 | 18  | 别丢下我不管
20  |2019-05-10 | 18  | 静悄悄
21  |2019-05-10 | 17  | 去年夏天
22  |2019-05-10 | 16  | 绿色
23  |2019-05-10 | 14  | 夏天的风
24  |2019-05-10 | 13  | 最近
25  |2019-05-10 | 13  | 超级喜欢你
26  |2019-05-10 | 11  | 寓言
27  |2019-05-10 | 11  | stay with me
28  |2019-05-10 | 9   | cheap thrills
29  |2019-05-10 | 9   | 爱很简单
30  |2019-05-10 | 6   | 北京北京
31  |2019-05-10 | 4   | 宁夏
32  |2019-05-10 | 3   | 一个像夏天一个像秋天
33  |2019-05-10 | 1   | 被风吹过的夏天
34  |2019-05-10 | 1   | 小邋遢
35  |2019-05-05 | 139 | 说散就散
36  |2019-05-05 | 98  | 光年之外
37  |2019-05-05 | 43  | 爱你
38  |2019-05-05 | 43  | 烟火里的尘埃
39  |2019-05-05 | 32  | 你要的全拿走
40  |2019-05-05 | 30  | 后来
41  |2019-05-05 | 28  | 阿刁
42  |2019-05-05 | 26  | 泡沫
43  |2019-05-05 | 25  | 魔鬼中的天使
44  |2019-05-05 | 21  | 战争世界
45  |2019-05-05 | 20  | 天后
46  |2019-05-05 | 20  | 九张机
47  |2019-05-05 | 19  | 囚鸟
48  |2019-05-05 | 16  | 不为谁而作的歌
49  |2019-05-05 | 14  | 起风了
50  |2019-05-05 | 13  | 看到风
51  |2019-05-05 | 1   | 祝我生日快乐
52  |2019-05-03 | 31  | 爱河
53  |2019-05-03 | 23  | 不醉不会
54  |2019-05-03 | 17  | 雨蝶
55  |2019-05-03 | 15  | 女儿情
56  |2019-05-03 | 15  | what are words
57  |2019-05-03 | 11  | 天竺少女
58  |2019-05-03 | 6   | 套马杆
59  |2019-05-03 | 5   | 江湖儿女
60  |2019-05-03 | 2   | 你是风儿我是沙
61  |2019-04-30 | 38  | 远走高飞
62  |2019-04-30 | 31  | 哼
63  |2019-04-30 | 26  | let me love you & faded
64  |2019-04-30 | 23  | 喜欢你
65  |2019-04-30 | 22  | 还有我
66  |2019-04-30 | 22  | 是什么让我遇见这样的你
67  |2019-04-30 | 21  | wake me up
68  |2019-04-30 | 19  | 走在冷风中
69  |2019-04-30 | 13  | 元气满满
70  |2019-04-29 | 36  | 成全
71  |2019-04-29 | 29  | 红色高跟鞋
72  |2019-04-29 | 22  | 吹海风
73  |2019-04-29 | 19  | 逆战
74  |2019-04-29 | 19  | 独照
75  |2019-04-29 | 12  | 让她降落
76  |2019-04-29 | 12  | pam pam
77  |2019-04-29 | 8   | 遗失的美好
78  |2019-04-29 | 7   | 潇洒走一回
79  |2019-04-29 | 5   | trouble is a friend
80  |2019-04-29 | 4   | chandelier
81  |2019-04-29 | 1   | 狂浪
82  |2019-04-29 | 1   | heart attack
83  |2019-04-29 | 1   | 贼
84  |2019-04-29 | 1   | 如果爱
85  |2019-04-26 | 46  | 易燃易爆炸
86  |2019-04-26 | 44  | 我想对你说baby
87  |2019-04-26 | 33  | 最初的梦想
88  |2019-04-26 | 28  | 如果有来生
89  |2019-04-26 | 27  | 杀破狼
90  |2019-04-26 | 25  | 电台情歌
91  |2019-04-26 | 22  | 男孩
92  |2019-04-26 | 20  | 不怕不怕
93  |2019-04-26 | 15  | 回到过去
94  |2019-04-26 | 14  | 遇
95  |2019-04-26 | 14  | 我的世界
96  |2019-04-26 | 14  | 梦里水乡
97  |2019-04-26 | 14  | 追梦人
98  |2019-04-26 | 13  | 东西
99  |2019-04-26 | 12  | 我的秘密
100 |2019-04-26 | 7   | 第一天
101 |2019-04-26 | 7   | 谁
102 |2019-04-26 | 7   | 冰雪节
103 |2019-04-26 | 6   | 青柠
104 |2019-04-26 | 3   | 最熟悉的陌生人
105 |2019-04-23 | 48  | 再见前任
106 |2019-04-23 | 42  | 来自天堂的魔鬼
107 |2019-04-23 | 30  | 爱上张无忌
108 |2019-04-23 | 25  | 你一定要幸福
109 |2019-04-23 | 24  | 吴哥窟
110 |2019-04-23 | 23  | 倒数
111 |2019-04-23 | 22  | 你会爱我到什么时候
112 |2019-04-23 | 20  | 不仅仅是喜欢
