序号 |   时间    |序号| 歌名
1    |2019-05-31 | 1  | 只要平凡
2    |2019-05-31 | 2  | 你在终点等我
3    |2019-05-31 | 3  | 天后
4    |2019-05-31 | 4  | 胡广生
5    |2019-05-31 | 5  | 来自天堂的魔鬼
6    |2019-05-31 | 6  | 街角的祝福
7    |2019-05-31 | 7  | 踮起脚尖爱
8    |2019-05-31 | 8  | 你的酒馆对我打了烊
9    |2019-05-31 | 9  | 寓言
10   |2019-05-31 | 10 | 去年夏天
11   |2019-05-31 | 11 | 雪落下的声音
12   |2019-05-29 | 1  | 不为谁而作的歌
13   |2019-05-29 | 2  | 东西
14   |2019-05-29 | 3  | 来自天堂的魔鬼
15   |2019-05-29 | 4  | 满满的都是爱
16   |2019-05-29 | 5  | 你的酒馆对我打了烊
17   |2019-05-29 | 6  | 只要平凡
18   |2019-05-29 | 7  | 胡广生
19   |2019-05-29 | 8  | 红日
20   |2019-05-29 | 9  | 卜卦
21   |2019-05-29 | 10 | 可能否
22   |2019-05-29 | 11 | 美错
23   |2019-05-29 | 12 | 自己
24   |2019-05-29 | 13 | 走着走着就散了
25   |2019-05-29 | 14 | 口袋的天空
26   |2019-05-29 | 15 | 来自天堂的魔鬼
27   |2019-05-29 | 16 | i want it that way
28   |2019-05-29 | 17 | 江南
29   |2019-05-29 | 18 | 电灯胆
30   |2019-05-27 | 1  | 那么骄傲
31   |2019-05-27 | 2  | 我是我的
32   |2019-05-27 | 3  | 寂寞烟火
33   |2019-05-27 | 4  | 如果有来生
34   |2019-05-27 | 5  | 看到风
35   |2019-05-27 | 6  | 心形宇宙
36   |2019-05-27 | 7  | 青空
37   |2019-05-27 | 8  | 既视感
38   |2019-05-27 | 9  | 吹海风
39   |2019-05-27 | 10 | 匆匆那年
40   |2019-05-27 | 11 | 烟火里的尘埃
41   |2019-05-27 | 12 | 至少还有你
42   |2019-05-27 | 13 | 佛系少女
43   |2019-05-24 | 1  | 谢谢你
44   |2019-05-24 | 2  | 遇
45   |2019-05-24 | 3  | 童话
46   |2019-05-24 | 4  | e.t.
47   |2019-05-24 | 5  | 红颜旧
48   |2019-05-24 | 6  | 至少还有你
49   |2019-05-24 | 7  | 天后
50   |2019-05-24 | 8  | 等下一个他
51   |2019-05-24 | 9  | 刚好遇见你
52   |2019-05-24 | 10 | 喜欢你
53   |2019-05-24 | 11 | 云烟成雨
54   |2019-05-24 | 12 | 玻璃糖
55   |2019-05-24 | 13 | 寓言
56   |2019-05-24 | 14 | 看到风
57   |2019-05-24 | 15 | 小幸运
58   |2019-05-24 | 16 | 三寸天堂
59   |2019-05-24 | 17 | 雨蝶
60   |2019-05-24 | 18 | 战争世界
61   |2019-05-24 | 19 | 樱花草
62   |2019-05-24 | 20 | 我的秘密
63   |2019-05-24 | 21 | 侧脸
64   |2019-05-24 | 22 | 可惜不是你
65   |2019-05-24 | 23 | 赤道和北极
66   |2019-05-24 | 24 | 独角戏
67   |2019-05-24 | 25 | 执迷不悔
68   |2019-05-24 | 26 | 单飞
69   |2019-05-24 | 27 | 太多
70   |2019-05-24 | 28 | 雪落下的声音
71   |2019-05-24 | 29 | 流泪
72   |2019-05-24 | 30 | 陆垚知马俐
73   |2019-05-24 | 31 | 最美的期待
74   |2019-05-24 | 32 | 等你下课
75   |2019-05-24 | 33 | 空空如也
76   |2019-05-24 | 34 | 沈洁洁 
77   |2019-05-21 | 1  | 星语心愿
78   |2019-05-21 | 2  | 谢谢你
79   |2019-05-21 | 3  | 理想情人
80   |2019-05-21 | 4  | 你的甜蜜
81   |2019-05-21 | 5  | 丫头
82   |2019-05-21 | 6  | despacito中文版-慢慢来
83   |2019-05-21 | 7  | stuttering
84   |2019-05-21 | 8  | 说散就散
85   |2019-05-21 | 9  | 原来你也在这里
86   |2019-05-21 | 10 | 带我走
87   |2019-05-21 | 11 | 那些年
88   |2019-05-21 | 12 | lemon tree
89   |2019-05-21 | 13 | 来自天堂的魔鬼
90   |2019-05-21 | 14 | 爱你
91   |2019-05-21 | 15 | 尽头
92   |2019-05-21 | 16 | 一生何求
93   |2019-05-21 | 17 | 春风十里
94   |2019-05-21 | 18 | 爱很简单
95   |2019-05-20 | 1  | 牵丝戏
96   |2019-05-20 | 2  | 往后余生
97   |2019-05-20 | 3  | 好运来
98   |2019-05-20 | 4  | 最初的梦想
99   |2019-05-20 | 5  | 分手快乐
100  |2019-05-20 | 6  | 雪落下的声音
101  |2019-05-20 | 7  | 说爱你
102  |2019-05-20 | 8  | 第一次爱的人
103  |2019-05-20 | 9  | 爱的就是你
104  |2019-05-20 | 10 | 走马
105  |2019-05-20 | 11 | 过错
106  |2019-05-20 | 12 | 奇妙能力歌
107  |2019-05-20 | 13 | 好的 晚安
108  |2019-05-20 | 14 | 婴儿
109  |2019-05-20 | 15 | 青柠
110  |2019-05-20 | 16 | 囚鸟
111  |2019-05-20 | 17 | 约定
112  |2019-05-20 | 18 | 电灯盏
113  |2019-05-20 | 19 | 青空
114  |2019-05-19 | 1  | 我是我的
115  |2019-05-19 | 2  | 直来直往
116  |2019-05-19 | 3  | just one last dance
117  |2019-05-19 | 4  | 我想对你说baby
118  |2019-05-19 | 5  | 时间煮雨
119  |2019-05-19 | 6  | 丫头
120  |2019-05-19 | 7  | 美丽的神话
121  |2019-05-19 | 8  | 晴天
122  |2019-05-19 | 9  | 下一个天亮
123  |2019-05-19 | 10 | 一路向北
124  |2019-05-19 | 11 | 不再联系
125  |2019-05-19 | 12 | 魔鬼中的天使
126  |2019-05-19 | 13 | 病变
127  |2019-05-19 | 14 | 你把我灌醉
128  |2019-05-19 | 15 | 侧脸
129  |2019-05-19 | 16 | 小宇
130  |2019-05-19 | 17 | 狂浪
131  |2019-05-19 | 18 | 黎明前的黑暗
132  |2019-05-19 | 19 | 生命树
133  |2019-05-19 | 20 | 陌生人
134  |2019-05-19 | 21 | 往后余生
135  |2019-05-19 | 22 | 暗涌
136  |2019-05-19 | 23 | 赤道和北极
137  |2019-05-19 | 24 | 如果的事
138  |2019-05-19 | 25 | 看到风
139  |2019-05-19 | 26 | 凌晨三点
140  |2019-05-17 | 1  | 静悄悄
141  |2019-05-17 | 2  | 默
142  |2019-05-17 | 3  | 身骑白马
143  |2019-05-17 | 4  | 当你
144  |2019-05-17 | 5  | 佛系少女
145  |2019-05-17 | 6  | 淋雨一直走
146  |2019-05-17 | 7  | 至少还有你
147  |2019-05-17 | 8  | 天后
148  |2019-05-17 | 9  | 等下一个他
149  |2019-05-17 | 10 | 爱很简单
150  |2019-05-17 | 11 | 人质
151  |2019-05-17 | 12 | 最长的电影
152  |2019-05-17 | 13 | 侧脸
153  |2019-05-17 | 14 | 欧若拉
154  |2019-05-17 | 15 | 青藏高原
155  |2019-05-17 | 16 | 遇见
156  |2019-05-17 | 17 | 卡路里
157  |2019-05-17 | 18 | 雪落下的声音
158  |2019-05-17 | 19 | 告白气球
159  |2019-05-17 | 20 | 别找我麻烦
160  |2019-05-17 | 21 | 快乐崇拜
161  |2019-05-17 | 22 | 大鱼
162  |2019-05-17 | 23 | 夜车
163  |2019-05-17 | 24 | 如果的事
164  |2019-05-17 | 25 | 沈洁洁 
165  |2019-05-14 | 1  | 等下一个他
166  |2019-05-14 | 2  | 至少还有你
167  |2019-05-14 | 3  | 街角的祝福
168  |2019-05-14 | 4  | 过错
169  |2019-05-14 | 5  | 天后
170  |2019-05-14 | 6  | 爱上张无忌
171  |2019-05-14 | 7  | 魔鬼中的天使
172  |2019-05-14 | 8  | 体面
173  |2019-05-14 | 9  | 你一定要幸福
174  |2019-05-14 | 10 | 痴心绝对
175  |2019-05-14 | 11 | 七月七日晴
176  |2019-05-14 | 12 | 过客
177  |2019-05-14 | 13 | 一笑倾城
178  |2019-05-14 | 14 | 一千年以后
179  |2019-05-14 | 15 | 可惜没如果
180  |2019-05-14 | 16 | 不为谁而作的歌
181  |2019-05-14 | 17 | 走着走着就散了
182  |2019-05-14 | 18 | 讲真的
183  |2019-05-14 | 19 | 梦一场
184  |2019-05-14 | 20 | 不怕不怕
185  |2019-05-14 | 21 | 知否知否
186  |2019-05-14 | 22 | 空心
187  |2019-05-14 | 23 | 预谋
188  |2019-05-14 | 24 | 大鱼
189  |2019-05-14 | 25 | 看到风
190  |2019-05-14 | 26 | 雪落下的声音
191  |2019-05-14 | 27 | 黎明前的黑暗
192  |2019-05-14 | 28 | 有可能的夜晚
193  |2019-05-14 | 29 | 你不知道的事
194  |2019-05-14 | 30 | 沈洁洁
195  |2019-05-13 | 1  | 月亮代表我的心
196  |2019-05-13 | 2  | 爱很简单
197  |2019-05-13 | 3  | 至少还有你
198  |2019-05-13 | 4  | 天后
199  |2019-05-13 | 5  | 匆匆那年
200  |2019-05-13 | 6  | 梦一场
201  |2019-05-13 | 7  | 等下一个他
202  |2019-05-13 | 8  | 人质
